person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid
1,Male,Other,69,0,0,0,0,(F3),Aggravated Assault w/Firearm,1
3,Male,African-American,34,0,0,0,0,(F3),Felony Battery w/Prior Convict,2
4,Male,African-American,24,0,0,1,4,(F3),Possession of Cocaine,1
5,Male,African-American,23,0,1,0,1,(F3),Possession of Cannabis,1
6,Male,Other,43,0,0,0,2,(F7),arrest case no charge,1
8,Male,Caucasian,41,0,0,0,14,(F3),Possession Burglary Tools,1
9,Male,Other,43,0,0,0,3,(F3),arrest case no charge,1
10,Female,Caucasian,39,0,0,0,0,(M1),Battery,1
11,Male,Caucasian,20,0,0,1,0,(F3),Possession Of Alprazolam,1
12,Female,Caucasian,26,0,0,0,0,(F3),Possession Of Alprazolam,1
13,Male,Caucasian,21,0,0,0,1,(F2),Insurance Fraud,2
14,Male,Caucasian,27,0,0,0,0,(F3),Poss 3;4 MDMA (Ecstasy),1
15,Male,African-American,23,0,0,0,3,(M1),Battery,1
16,Female,Caucasian,37,0,0,0,0,(M1),Battery,1
17,Male,Caucasian,22,0,0,0,0,(M1),Battery,1
19,Female,Caucasian,47,0,0,0,1,(F3),arrest case no charge,1
20,Male,African-American,31,0,0,0,7,(F3),Felony Driving While Lic Suspd,1
22,Male,African-American,25,0,0,0,3,(F3),Grand Theft in the 3rd Degree,1
23,Male,Caucasian,31,0,0,0,6,(F3),Driving While License Revoked,2
24,Male,Caucasian,31,0,0,0,5,(F3),Possession Of Heroin,1
25,Male,African-American,64,0,0,0,13,(F3),arrest case no charge,1
26,Male,African-American,21,0,0,0,1,(F3),Battery on Law Enforc Officer,1
28,Female,Caucasian,21,0,0,0,0,(F3),Introduce Contraband Into Jail,1
29,Male,African-American,24,0,0,0,2,(F3),Poss Pyrrolidinovalerophenone,1
30,Male,Hispanic,24,0,0,0,1,(F3),Lewd/Lasc Battery Pers 12+/<16,1
31,Male,Caucasian,42,0,0,0,1,(F1),Trafficking In Methamphetamine,1
32,Male,Caucasian,43,0,0,0,1,(M2),Susp Drivers Lic 1st Offense,1
33,Male,Other,32,0,0,0,0,(M1),Battery,1
34,Female,African-American,54,0,0,0,0,(F3),Poss3;4 Methylenedioxymethcath,1
35,Male,African-American,44,0,0,0,8,(M2),arrest case no charge,1
37,Male,African-American,27,0,0,0,8,(F3),Carrying Concealed Firearm,2
38,Female,Caucasian,36,0,0,0,3,(F3),arrest case no charge,1
39,Male,African-American,26,0,0,1,5,(F3),Pos Cannabis W/Intent Sel/Del,1
40,Male,African-American,33,0,0,0,0,(F3),Tampering With Physical Evidence,2
42,Male,African-American,32,0,0,0,4,(F3),Att Tamper w/Physical Evidence,1
43,Male,African-American,63,0,0,0,0,(M1),Battery,1
44,Male,Hispanic,27,0,0,0,2,(F3),Possession of Cocaine,1
